"","1","2","3","4","5","6","7","8","9"
"citation_count",-0.000198166498908041,0.0726372767290989,-0.130198961156575,0.0236822544702835,0.0264114682182984,0.000833220398266264,0.000102131952972847,-0.0658906897924786,4.28093114396564e-06
"cited_by_count",0.000269532127220172,0.111220363460276,-0.0893018603709441,-0.00272397190066466,-0.0247121603446365,-0.000598762332237788,0.000697679507191787,0.0341568998302725,6.5910642274409e-06
"coauthor_count",-0.000361082641705527,0.0296527550770865,0.761187569165759,-0.00408335716663004,0.00697062805398775,-0.000317258896201325,0.00131479861986346,-0.00296882856207736,-0.00500714894432564
"document_count",0.0464401484064741,-0.0609108872085546,0.149195039648608,0.309313414306498,0.0139616354034775,-0.013085032785533,-0.00908254353889605,0.0632620117214552,-0.0471680299750842
"h_index",0.00847614643650558,0.00447946592639263,0.204232983761112,0.183125138518719,0.1752131176422,0.00593446165298598,-0.0131160449931289,0.281741123857678,0.0157297090543894
"first_author_sum",-0.0149702277018087,-0.0489229748152728,0.209890421651965,0.342163443334472,-0.019912754573854,0.275329662457546,-0.00259943351484312,0.106272581705073,-0.0284651414683614
"last_author_sum",-0.0082997662959573,-0.0964530958860291,0.0399274469912128,0.350121072741455,-0.0420749357624861,-0.0398690072346899,0.206633164595183,-0.0423942649085874,-0.0331097179560379
"publication_duration",-0.0120021787454673,0.0303999820509339,0.307649289804268,0.100120389012902,0.306421221060562,0.0100446175816671,0.0223420270373135,0.582927299125884,0.00686997084234504
"openaccess_sum",0.0186810322375132,-0.0213655209948597,0.286460046884981,0.339233104718665,-0.0482906555273417,-0.00198226086110814,-0.0115556807411522,0.030652443176823,0.310566983368312
"Article_sum",-0.0527942719140541,-0.0722576587191817,0.140529777861686,0.37363475952844,-0.0094644936332269,-0.0354163204879609,-0.0385725082443016,0.0725266746062959,-0.00643036620875477
