"","citation_count","cited_by_count","coauthor_count","document_count","h_index","first_author_sum","last_author_sum","publication_duration","openaccess_sum","Article_sum"
"citation_count",0.0280572746801827,0.0187035956112354,-0.0836473960476268,-0.0246265102466503,-0.0359069613146895,-0.0367252664669091,-0.00772080717438897,-0.0618787461539938,-0.0350422861208538,-0.0237802708949393
"cited_by_count",0.0187035956112354,0.0221052151219243,-0.0650781819499453,-0.0259241835537705,-0.0229660394553876,-0.0316980393080621,-0.0200305324767066,-0.0278791618583727,-0.0321735337876402,-0.0255829799972675
"coauthor_count",-0.0836473960476268,-0.0650781819499453,0.381961521700206,0.103231605295675,0.131040534879534,0.14370146265679,0.0459574770705672,0.193878099182075,0.15927933199648,0.0972438719520777
"document_count",-0.0246265102466503,-0.0259241835537705,0.103231605295675,0.149676214750242,0.138141038301342,0.171634346674311,0.136836021213975,0.166241407432827,0.16015302674208,0.161475748715437
"h_index",-0.0359069613146895,-0.0229660394553876,0.131040534879534,0.138141038301342,0.220162732484319,0.180712401637426,0.0768464740514737,0.348486288302209,0.150612276031788,0.145689603395252
"first_author_sum",-0.0367252664669091,-0.0316980393080621,0.14370146265679,0.171634346674311,0.180712401637426,0.296390009845351,0.143029650555229,0.232921037813644,0.202220930132545,0.186478564289234
"last_author_sum",-0.00772080717438897,-0.0200305324767066,0.0459574770705672,0.136836021213975,0.0768464740514737,0.143029650555229,0.204657959634387,0.0524244507013872,0.152904768782097,0.15506345617535
"publication_duration",-0.0618787461539938,-0.0278791618583727,0.193878099182075,0.166241407432827,0.348486288302209,0.232921037813643,0.0524244507013872,0.61195742287701,0.145740405010214,0.165583188877308
"openaccess_sum",-0.0350422861208537,-0.0321735337876402,0.15927933199648,0.16015302674208,0.150612276031788,0.202220930132545,0.152904768782097,0.145740405010214,0.328853688958139,0.195408780375562
"Article_sum",-0.0237802708949393,-0.0255829799972675,0.0972438719520777,0.161475748715437,0.145689603395252,0.186478564289234,0.15506345617535,0.165583188877308,0.195408780375562,0.191346010449951
